STORM NAME,LANDFALL DATE,format change,excel order date,DAMAGE RANK,CURRENT DAMAGE.2012,BASE DAMAGE,LANDFALL STATE,CATEGORY,WmaxLandfall
Galveston,"Sep 08,1900","Sep 08, 1900",252,2,"97,930,000,000","30,000,000",TX,4,145
Storm 4 in 1901,"Aug 14,1901","Aug 14, 1901",592,124,"640,000,000","1,000,000",LA,1,90
Storm 3 in 1903,"Sep 11,1903","Sep 11, 1903",1350,48,"5,730,000,000","670,000",FL,1,90
Storm 3 in 1903,"Sep 13,1903","Sep 13, 1903",1352,239,NA,NA,FL,1,90
Storm 2 in 1904,"Sep 14,1904","Sep 14, 1904",1719,139,"400,000,000","1,000,000",SC,1,80
Storm 6 in 1906,"Sep 27,1906","Sep 27, 1906",2462,76,"2,430,000,000","4,000,000",MS,2,110
Storm 8 in 1906,"Oct 18,1906","Oct 18, 1906",2483,88,"1,660,000,000","200,000",FL,3,120
Valasco,"Jul 21,1909","Jul 21, 1909",3490,94,"1,410,000,000","2,000,000",TX,3,115
Grand Isle,"Sep 20,1909","Sep 20, 1909",3551,111,"1,030,000,000","5,000,000",LA,3,120
Storm 10 in 1909,"Oct 11,1909","Oct 11, 1909",3572,44,"6,650,000,000","1,000,000",FL,3,115
Storm 5 in 1910,"Oct 17,1910","Oct 17, 1910",3943,62,"3,980,000,000","500,000",FL,2,110
Storm 3 in 1911,"Aug 28,1911","Aug 28, 1911",4258,152,"270,000,000","1,000,000",SC,2,100
Storm 4 in 1913,"Sep 03,1913","Sep 03, 1913",4995,101,"1,230,000,000","3,000,000",NC,1,85
Galveston,"Aug 17,1915","Aug 17, 1915",5708,4,"78,750,000,000","50,000,000",TX,4,130
New Orleans,"Sep 29,1915","Sep 29, 1915",5751,69,"3,010,000,000","13,000,000",LA,3,125
Storm 2 in 1916,"Jul 05,1916","Jul 05, 1916",6031,95,"1,380,000,000","3,000,000",AL,3,120
Storm 6 in 1916,"Aug 18,1916","Aug 18, 1916",6075,85,"1,770,000,000","1,800,000",TX,4,130
Storm 1 in 1918,"Aug 06,1918","Aug 06, 1918",6793,114,"940,000,000","5,000,000",LA,3,120
Storm 2 in 1919,"Sep 09,1919","Sep 09, 1919",7192,128,"570,000,000","2,000,000",FL,4,150
Storm 2 in 1919,"Sep 14,1919","Sep 14, 1919",7197,26,"14,000,000,000","20,000,000",TX,3,115
Storm 2 in 1920,"Sep 21,1920","Sep 21, 1920",7570,118,"840,000,000","1,450,000",LA,2,100
Tampa Bay,"Oct 25,1921","Oct 25, 1921",7969,64,"3,830,000,000","3,000,000",FL,3,120
Storm 1 in 1926,"Jul 27,1926","Jul 27, 1926",9705,53,"4,840,000,000","3,051,000",FL,1,85
Storm 3 in 1926,"Aug 25,1926","Aug 25, 1926",9734,100,"1,240,000,000","7,000,000",LA,2,100
Great Miami,"Sep 18,1926","Sep 18, 1926",9758,1,"188,480,000,000","76,000,000",FL,4,130
Great Miami,"Sep 20,1926","Sep 20, 1926",9760,32,"9,860,000,000","29,000,000",AL,2,110
Lake Okeechobee,"Sep 16,1928","Sep 16, 1928",10487,9,"44,440,000,000","25,000,000",FL,4,130
Storm 1 in 1929,"Jun 28,1929","Jun 28, 1929",10772,184,"92,000,000","675,000",TX,1,80
Storm 2 in 1929,"Sep 28,1929","Sep 28, 1929",10864,177,"120,000,000","100,000",FL,2,105
Storm 2 in 1929,"Sep 30,1929","Sep 30, 1929",10866,173,"150,000,000","200,000",FL,1,75
Freeport,"Aug 13,1932","Aug 13, 1932",11914,39,"7,550,000,000","7,500,000",TX,4,145
Storm 8 in 1933,"Aug 23,1933","Aug 23, 1933",12289,52,"4,880,000,000","27,000,000",NC,1,80
Storm 11 in 1933,"Sep 04,1933","Sep 04, 1933",12301,46,"6,260,000,000","16,900,000",TX,2,100
Storm 12 in 1933,"Sep 04,1933","Sep 04, 1933",12301,84,"1,880,000,000","1,000,000",FL,4,130
Storm 13 in 1933,"Sep 16,1933","Sep 16, 1933",12313,97,"1,300,000,000","4,750,000",NC,1,90
Storm 1 in 1934,"May 27,1934","May 27, 1934",12566,154,"260,000,000","155,000",FL,0,45
Storm 2 in 1934,"Jun 16,1934","Jun 16, 1934",12586,134,"510,000,000","2,605,000",LA,1,75
Storm 3 in 1934,"Jul 25,1934","Jul 25, 1934",12625,135,"480,000,000","1,500,000",TX,1,75
Labor Day,"Sep 02,1935","Sep 02, 1935",13029,80,"2,200,000,000","5,000,000",FL,5,160
Labor Day,"Sep 04,1935","Sep 04, 1935",13031,157,"240,000,000","1,000,000",FL,1,85
Storm 6 in 1935,"Nov 04,1935","Nov 04, 1935",13092,37,"8,090,000,000","5,500,000",FL,1,75
Storm 3 in 1936,"Jun 27,1936","Jun 27, 1936",13328,171,"150,000,000","550,000",TX,1,80
